bacterial_species,isolate_code,administrative_region,national_site,local_site,sample_source,replicate,colony,esbl,ampicillin_mic,ampicillin_int,amoxicillin_clavulanic_acid_mic,amoxicillin_clavulanic_acid_int,ceftaroline_mic,ceftaroline_int,cefalexin_mic,cefalexin_int,cefalotin_mic,cefalotin_int,cefpodoxime_mic,cefpodoxime_int,cefotaxime_mic,cefotaxime_int,cefovecin_mic,cefovecin_int,ceftiofur_mic,ceftiofur_int,ceftazidime_avibactam_mic,ceftazidime_avibactam_int,imepenem_mic,imepenem_int,amikacin_mic,amikacin_int,gentamicin_mic,gentamicin_int,neomycin_mic,neomycin_int,nalidixic_acid_mic,nalidixic_acid_int,enrofloxacin_mic,enrofloxacin_int,marbofloxacin_mic,marbofloxacin_int,pradofloxacin_mic,pradofloxacin_int,doxycycline_mic,doxycycline_int,tetracycline_mic,tetracycline_int,nitrofurantoin_mic,nitrofurantoin_int,chloramphenicol_mic,chloramphenicol_int,trimethoprim_sulfamethazole_mic,trimethoprim_sulfamethazole_int,scored_resistance,num_antibiotics_tested,mar_index,ampicillin_encoded,amoxicillin_clavulanic_acid_encoded,ceftaroline_encoded,cefalexin_encoded,cefalotin_encoded,cefpodoxime_encoded,cefotaxime_encoded,cefovecin_encoded,ceftiofur_encoded,ceftazidime_avibactam_encoded,imepenem_encoded,amikacin_encoded,gentamicin_encoded,neomycin_encoded,nalidixic_acid_encoded,enrofloxacin_encoded,marbofloxacin_encoded,pradofloxacin_encoded,doxycycline_encoded,tetracycline_encoded,nitrofurantoin_encoded,chloramphenicol_encoded,trimethoprim_sulfamethazole_encoded,resistant_classes_count,is_mdr,num_resistant,num_tested,mar_index_calculated,mar_index_original
enterobacter_cloacae_complex,vc_mkdwr1c3,barmm,marawi_city,tuca_kialdan,drinking_water,1,3,,,,4,r,,,>=64,r,>=64,r,2,s,,,2,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,2,s,2,s,128,r,16,i,<=20,s,4.0,19.0,0.2105,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2,0,5,23,0.21739130434782608,0.2105
enterobacter_cloacae_complex,vc_mkdwr1c5,barmm,marawi_city,tuca_kialdan,drinking_water,1,5,,,,4,r,,,>=64,r,>=64,r,2,s,,,2,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,2,s,2,s,128,r,16,i,<=20,s,4.0,19.0,0.2105,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2,0,5,23,0.21739130434782608,0.2105
klebsiella_pneumoniae_ssp_pneumoniae,vc_mkdwr1c6,barmm,marawi_city,tuca_kialdan,drinking_water,1,6,neg,>=32,r,<=2,s,,s,<=4,s,<=2,s,<=0.25,s,,s,<=0.5,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,1,s,<=1,s,64,i,<=2,s,<=20,s,1.0,22.0,0.0455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,23,0.043478260869565216,0.0455
enterobacter_cloacae_complex,vc_mkdwr2c1,barmm,marawi_city,tuca_kialdan,drinking_water,2,1,,,,4,r,,,16,r,>=64,r,2,s,,s,4,i,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,2,s,2,s,64,i,8,s,<=20,s,3.0,20.0,0.15,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,4,23,0.17391304347826086,0.15
enterobacter_cloacae_complex,vc_mkdwr2c2,barmm,marawi_city,tuca_kialdan,drinking_water,2,2,,,,4,r,,,>=64,r,>=64,r,2,s,,,>=8,r,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,2,s,2,s,128,r,16,i,<=20,s,5.0,20.0,0.25,2.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2,0,6,23,0.2608695652173913,0.25
enterobacter_cloacae_complex,vc_mkdwr3c2,barmm,marawi_city,tuca_kialdan,drinking_water,3,2,,,,<=2,r,,,16,r,8,r,<=0.25,s,,s,2,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,2,s,2,s,64,i,16,i,<=20,s,3.0,20.0,0.15,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,4,23,0.17391304347826086,0.15
enterobacter_cloacae_complex,vc_mkdwr3c3,barmm,marawi_city,tuca_kialdan,drinking_water,3,3,,,,>=32,r,,,>=64,r,>=64,r,2,s,,,2,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,>=16,r,>=16,r,128,r,16,i,<=20,s,6.0,19.0,0.3158,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,3,1,7,23,0.30434782608695654,0.3158
klebsiella_pneumoniae_ssp_pneumoniae,ec_mklwr1c6,barmm,marawi_city,tuca_kialdan,lake_water,1,6,neg,>=32,r,<=2,s,,s,<=4,s,<=2,s,<=0.25,s,,s,<=0.5,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,1*,i,>=16,r,32,s,<=2,s,<=20,s,2.0,22.0,0.0909,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2,0,2,23,0.08695652173913043,0.0909
enterobacter_cloacae_complex,ec_mklwr2c1,barmm,marawi_city,tuca_kialdan,lake_water,2,1,,,,>=32,r,,,>=64,r,>=64,r,<=0.25,s,,s,<=0.5,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,1,s,<=1,s,64,i,4,s,<=20,s,3.0,20.0,0.15,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,4,23,0.17391304347826086,0.15
escherichia_coli,ec_mklwr2c3,barmm,marawi_city,tuca_kialdan,lake_water,2,3,neg,4,s,<=2,s,,s,8,s,8,s,<=0.25,s,,s,<=0.5,s,<=1,s,,s,<=0.25,s,<=2,s,<=1,s,<=2,s,,,<=0.12,s,<=0.5,s,<=0.12,s,2,s,<=1,s,<=16,s,8,s,<=20,s,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,23,0.0,0.0
